Date,Time,CO2_room,Relative_humidity_room,Lighting_room,Meteo_Rain,Meteo_Sun_dusk,Meteo_Wind,Meteo_Sun_light_in_west_facade,Meteo_Sun_light_in_east_facade,Meteo_Sun_light_in_south_facade,Meteo_Sun_light_in_north_facade,Meteo_Sun_irradiance,Outdoor_relative_humidity_Sensor,Day_of_the_week,Occupancy 1,Occupancy 2,Occupancy 3,Indoor_temperature_room,humidity,outside temp,Datetime,Predicted_Satisfaction
12/04/2012,00:00,198.9678705,53.69992411,13.81456364,0.0,1.222544099,0.346889814,0,0.0,0.0,0.0,-3.512,77.46940332,4,0,1,1,21.83988951,51.84319032,20.55558727,2012-04-12 00:00:00,92.35202630080005
12/04/2012,00:15,198.6189856,52.50940455,13.13195416,0.0,0.658924489,0.447104738,0,0.0,0.0,0.0,-3.512,73.26250159,4,0,1,1,21.3379034,52.99669481,19.55695417,2012-04-12 00:15:00,91.91231392750002
12/04/2012,00:30,198.8284003,51.3864236,14.30459185,0.0,1.605215723,0.272931921,0,0.0,0.0,0.0,-3.38133,76.03246265,4,0,1,1,21.55788846,51.01742486,20.14192222,2012-04-12 00:30:00,91.30562454440003
12/04/2012,00:45,198.4220655,54.805172,13.68023556,0.0,1.376596036,0.28589874,0,0.0,0.0,0.0,-3.44667,74.2431184,4,0,1,1,21.75783187,50.60160306,19.01610121,2012-04-12 00:45:00,94.3259109054
12/04/2012,01:00,198.9311405,52.75948205,13.54749316,0.0,0.752146329,0.724640436,0,0.0,0.0,0.0,-3.316,72.03358387,4,0,1,0,21.0241647,52.06662014,20.58295954,2012-04-12 01:00:00,96.15501995279996
12/04/2012,01:15,199.2355374,52.56860841,13.99157667,0.0,1.005024984,0.048258293,0,0.0,0.0,0.0,-3.44667,71.82970155,4,0,1,0,20.25829607,52.52440957,20.40866986,2012-04-12 01:15:00,94.65720304269996
12/04/2012,01:30,199.2708616,55.89272823,13.68881421,0.0,1.461276786,0.324806123,0,0.0,0.0,0.0,-3.316,71.65422244,4,0,1,0,20.71074008,51.48373053,19.50001259,2012-04-12 01:30:00,98.88881049269999
12/04/2012,01:45,199.3803484,54.91022891,13.28477451,0.0,0.698367695,0.459731315,0,0.0,0.0,0.0,-3.512,76.43528708,4,0,1,0,19.97548362,51.58250538,18.51492237,2012-04-12 01:45:00,94.49459673129999
12/04/2012,02:00,200.0113598,52.02867539,13.35203949,0.0,0.763576438,0.243594921,0,0.0,0.0,0.0,-3.57733,75.61615218,4,0,1,0,20.39333978,52.77017142,19.98226432,2012-04-12 02:00:00,94.46220715959994
12/04/2012,02:15,201.1201699,53.34229144,12.74865992,0.0,1.557020227,0.061954894,0,0.0,0.0,0.0,-3.316,76.45227361,4,0,1,0,20.33414713,51.81301,18.84942514,2012-04-12 02:15:00,94.68915730459997
12/04/2012,02:30,201.6808175,53.76496183,14.93997853,0.0,0.690006528,0.423281738,0,0.0,0.0,0.0,-3.38133,74.44912408,4,0,1,0,20.14259578,52.87459559,18.57245389,2012-04-12 02:30:00,94.1204541092
12/04/2012,02:45,203.1549048,55.89018799,14.06485528,0.0,1.324307427,0.425303848,0,0.0,0.0,0.0,-3.12,74.81874034,4,0,1,0,20.47351156,52.56567826,18.30623267,2012-04-12 02:45:00,98.0065178327
12/04/2012,03:00,202.682435,54.54721188,12.79841138,0.0,1.463856316,0.437522983,0,0.0,0.0,0.0,-3.38133,72.15946582,4,0,1,0,19.99246114,51.35765037,18.46630491,2012-04-12 03:00:00,94.25883137139995
12/04/2012,03:15,204.8030842,53.22818996,13.41488442,0.0,0.996693773,0.734841737,0,0.0,0.0,0.0,-3.44667,74.2562139,4,0,1,0,20.32472384,51.93174638,17.82768085,2012-04-12 03:15:00,95.03894484179995
12/04/2012,03:30,205.8122912,51.49568366,13.36962788,0.0,1.159619071,0.411019821,0,0.0,0.0,0.0,-3.57733,76.27336915,4,0,1,0,19.78915775,52.95263953,18.63366267,2012-04-12 03:30:00,97.75520193020002
12/04/2012,03:45,205.1414133,51.85838335,15.20816619,0.0,0.794452448,0.272433712,0,0.0,0.0,0.0,-3.57733,73.05018548,4,0,1,0,19.48166748,51.88189872,18.18692478,2012-04-12 03:45:00,95.99858027189997
12/04/2012,04:00,204.3567612,53.69343874,13.57726676,0.0,1.313585744,0.159088874,0,0.0,0.0,0.0,-3.64267,75.7270482,4,0,1,0,19.98089283,52.57134624,18.5761309,2012-04-12 04:00:00,94.20168748660001
12/04/2012,04:15,205.5980978,53.72856464,13.16918131,0.0,1.186863516,0.337256736,0,0.0,0.0,0.0,-3.512,72.09594835,4,0,1,0,19.40505977,52.05177169,18.00574381,2012-04-12 04:15:00,96.5295538561
12/04/2012,04:30,205.8450167,54.13094964,14.4073075,0.0,1.411465348,0.206091101,0,0.0,0.0,0.0,-3.44667,76.39074336,4,0,1,0,19.38962682,52.43453741,18.42742763,2012-04-12 04:30:00,97.28275414049999
12/04/2012,04:45,205.2220753,52.45851245,13.13401643,0.0,0.823527054,0.074410292,0,0.0,0.0,0.0,-3.708,75.28359766,4,0,1,0,19.12431611,52.6602305,17.9605087,2012-04-12 04:45:00,94.81637177189998
12/04/2012,05:00,205.4143288,52.24095897,13.51038799,0.0,1.312681027,1.141997915,0,0.0,0.0,0.0,-3.44667,73.52244077,4,0,1,0,19.61558028,53.03705565,17.5111068,2012-04-12 05:00:00,95.39220423619996
12/04/2012,05:15,206.0565605,53.52442139,13.59557206,0.0,4.18262189,0.596981612,0,0.0,0.0,0.0,-3.316,76.19889681,4,0,1,0,19.83817829,53.27650206,18.3129366,2012-04-12 05:15:00,97.25545902389995
12/04/2012,05:30,206.2639868,52.99098513,13.86612712,0.0,52.08003017,0.59407375,0,0.0,0.0,0.0,-3.38133,77.87656514,4,0,1,0,19.72192563,53.74964777,17.56427462,2012-04-12 05:30:00,97.61152318579997
12/04/2012,05:45,206.0637992,51.98348387,13.78410489,0.0,368.5687695,0.643051528,0,0.0,0.0,0.0,-1.11867,74.63146184,4,0,1,0,18.94392324,53.19828382,19.176542,2012-04-12 05:45:00,96.52983150989998
12/04/2012,06:00,206.4578349,52.46488788,15.99816527,0.0,613.031556,0.481390441,0,0.0,0.0,0.0,4.02,76.69755582,4,0,1,0,19.56607222,52.25573213,18.86921422,2012-04-12 06:00:00,98.16989582119997
12/04/2012,06:15,206.5203582,53.7900674,23.89869118,0.0,613.8979428,0.164373098,0,688.128,709.632,602.112,15.6993,78.56777563,4,0,1,0,19.32332685,52.08620117,18.14971566,2012-04-12 06:15:00,97.81637088059998
12/04/2012,06:30,205.9671169,52.37122332,24.10263272,0.0,614.1031325,0.076241481,0,1662.98,2064.38,1705.98,28.468,75.26212716,4,0,1,0,18.89130857,53.11105105,17.73790076,2012-04-12 06:30:00,96.1055413558
12/04/2012,06:45,205.5942711,53.38000699,23.47164685,0.0,614.5474802,0.17106186,0,2351.1,2644.99,2315.26,38.96,73.69764446,4,0,1,0,18.87589599,52.93787775,18.73189812,2012-04-12 06:45:00,95.36698652600002
12/04/2012,07:00,204.8940578,52.62903755,23.50071901,0.0,614.5047195,0.300714391,0,4014.08,4501.5,4164.61,70.8107,74.0029929,4,0,1,0,18.72430302,53.20790637,18.88028796,2012-04-12 07:00:00,93.79616134599999
12/04/2012,07:15,205.0283685,52.91253401,24.03761767,0.0,615.2684364,0.294810011,0,5282.82,6429.7,5884.93,99.9573,74.60761608,4,0,1,0,19.17186694,52.99974872,18.03258475,2012-04-12 07:15:00,94.92997366770004
12/04/2012,07:30,205.3361452,,23.62229149,0.0,615.6178415,0.483817528,0,7153.66,9152.17,8128.51,136.064,73.97833631,4,0,1,0,19.39445099,53.86513295,19.4807913,2012-04-12 07:30:00,97.55836864070001
12/04/2012,07:45,204.5426522,,26.09966909,0.0,616.143542,0.715512437,0,8629.93,12951.2,10916.2,164.155,76.3719923,4,0,1,0,19.06734571,53.21030599,18.41511912,2012-04-12 07:45:00,97.09440430829999
12/04/2012,08:00,203.9599658,,35.32594322,0.0,616.9507208,0.931385181,0,10742.8,16642.0,13937.3,208.789,72.0730657,4,0,1,0,18.64527089,53.26136974,19.14377378,2012-04-12 08:00:00,96.67997325059996
12/04/2012,08:15,203.5102266,,38.48803725,0.0,617.6362931,1.087870386,0,10986.8,15021.4,13006.8,218.72,75.41846312,4,0,1,0,19.39587606,53.08569854,19.9035274,2012-04-12 08:15:00,96.50012503789999
12/04/2012,08:30,203.6693428,,45.3440659,0.0,617.8701759,0.884767666,0,11358.2,15272.6,13573.5,226.176,70.4056756,4,0,1,0,19.56389397,53.37370148,19.00654326,2012-04-12 08:30:00,96.20809973219997
12/04/2012,08:45,202.1101947,,65.04361076,0.0,617.7844562,1.461136757,0,14864.4,31478.4,26658.1,345.44,71.36108549,4,0,1,0,19.41626707,52.6522829,18.68075531,2012-04-12 08:45:00,96.6726336917
12/04/2012,09:00,200.2830375,52.16325271,102.2486701,0.0,620.3356615,1.219953953,0,18843.0,48204.5,41061.0,492.096,70.0522922,4,0,1,0,19.44597964,52.91006104,18.30424707,2012-04-12 09:00:00,94.84209246309997
12/04/2012,09:15,200.106249,51.70877539,80.5254356,0.0,621.0532842,1.388694029,0,16685.1,32370.7,30522.0,388.16,73.08552926,4,0,1,0,19.35541609,50.81376159,20.10171515,2012-04-12 09:15:00,95.08002780519999
12/04/2012,09:30,201.0348764,51.75451031,66.75752381,0.0,620.2963642,0.793581766,0,14972.2,28885.0,29199.0,361.451,71.75801044,4,0,1,0,20.1169632,51.89273835,19.71006728,2012-04-12 09:30:00,95.1961847249
12/04/2012,09:45,199.7090214,51.7285385,99.57441338,0.0,620.8001714,0.909821385,0,16138.9,39276.5,41648.1,476.117,69.5770102,4,0,1,0,19.5208973,52.01008652,18.96433565,2012-04-12 09:45:00,95.1369126477999
12/04/2012,10:00,199.6192868,52.08421296,114.1496421,0.0,622.790071,1.455491997,0,15558.7,49153.4,56300.9,596.245,70.92317347,4,0,1,0,19.98180406,50.6245998,19.72564477,2012-04-12 10:00:00,94.90943954489995
12/04/2012,10:15,199.5093294,51.39818349,125.6418975,0.0,623.2378566,2.22733961,0,14040.4,46531.9,63993.2,639.36,66.81564464,4,0,1,0,20.75679336,51.61243234,20.8047262,2012-04-12 10:15:00,94.51848811979998
12/04/2012,10:30,198.1830104,50.75809835,128.0895773,0.0,622.7687179,3.724159483,0,14140.8,42150.6,64105.1,692.821,61.680268,4,0,1,0,20.84078012,50.25498705,19.68025576,2012-04-12 10:30:00,93.85352560719994
12/04/2012,10:45,196.9631464,51.93041176,116.554838,0.0,622.0909203,3.565257985,0,14942.9,33157.1,62133.6,632.939,53.21572068,4,0,1,0,20.61715867,50.09197626,19.90211445,2012-04-12 10:45:00,94.22725927939997
12/04/2012,11:00,196.0860702,51.09726669,146.6175366,0.0,623.8016123,4.515518737,0,19893.6,32929.8,81267.4,898.112,53.53485929,4,0,1,0,21.16463733,50.12918988,21.10098951,2012-04-12 11:00:00,92.97323517489998
12/04/2012,11:15,195.1181391,49.21672205,141.4090987,0.0,624.1473633,4.385848703,0,20381.7,28343.0,79612.6,910.741,46.23720388,4,0,1,0,21.28195937,50.13903884,20.5763219,2012-04-12 11:15:00,92.98483589079999
12/04/2012,11:30,194.3478334,49.20718407,55.95895855,0.0,621.626694,4.540553681,0,14985.9,17291.3,29867.3,369.525,43.66182398,4,0,1,0,21.55983478,49.41179532,20.95791123,2012-04-12 11:30:00,92.45390788009996
12/04/2012,11:45,194.4319985,50.1041673,67.04602081,0.0,620.6452539,3.066407851,0,10199.0,13589.5,38714.7,451.403,47.2272967,4,0,1,0,22.43384213,50.11619813,21.75717875,2012-04-12 11:45:00,88.97525002350002
12/04/2012,12:00,193.8315526,49.71349036,143.3473952,0.0,622.9604527,4.630408744,0,12012.2,13473.8,80082.3,924.715,46.02367272,4,0,1,0,22.25678416,50.49985133,21.85240508,2012-04-12 12:00:00,87.74883122829999
12/04/2012,12:15,194.4685713,48.17642874,140.6374115,0.0,623.3811587,4.97396229,0,14884.9,14111.4,77957.8,943.147,33.60967391,4,0,1,0,22.73118765,48.88336041,20.83240188,2012-04-12 12:15:00,93.79431522089999
12/04/2012,12:30,193.7069012,49.45587832,122.4323345,0.0,623.7747414,4.321538026,0,19202.0,12391.1,72458.2,923.008,27.05194927,4,0,1,0,23.28789182,48.74275564,21.71067199,2012-04-12 12:30:00,91.99147767709995
12/04/2012,12:45,193.5431451,48.2612962,113.0930289,0.0,623.1746408,4.72460126,0,25819.8,10786.1,69522.8,913.877,26.32076163,4,0,1,0,23.03175917,49.08981273,21.29850577,2012-04-12 12:45:00,94.28548481429996
12/04/2012,13:00,193.2993116,48.44901007,93.88434447,0.0,622.4686528,4.9595113,0,30974.6,8601.6,57657.7,749.461,34.5316914,4,0,1,0,23.17717938,47.12630098,21.56018568,2012-04-12 13:00:00,93.79979968729997
12/04/2012,13:15,193.7262594,48.17699918,110.0059054,0.0,622.7370047,4.510871705,0,45617.2,8465.41,60623.5,832.789,32.14936402,4,0,1,0,23.58292486,47.10241547,22.02132785,2012-04-12 13:15:00,93.58040158579998
12/04/2012,13:30,194.5310006,46.69094348,110.2298884,0.0,623.2363972,4.654368201,0,58641.1,8236.03,55902.2,817.259,27.47276944,4,0,1,0,23.69095745,46.66353732,21.43551101,2012-04-12 13:30:00,98.74224646680001
12/04/2012,13:45,193.3071643,47.1670278,90.9266212,0.0,622.9405633,5.232619608,0,70316.7,8945.66,50242.6,813.707,23.94672187,4,0,1,0,24.22133231,45.54818273,22.99147094,2012-04-12 13:45:00,86.60782557630014
12/04/2012,14:00,193.7104158,46.38437382,71.8752552,0.0,622.729708,4.82334345,0,73444.4,8006.66,42705.6,726.027,24.97083683,4,0,1,0,24.69464687,46.77234009,22.83528067,2012-04-12 14:00:00,85.53693597780011
12/04/2012,14:15,193.5719542,45.5975844,79.80753869,0.5,622.3085769,5.508742144,0,82180.8,9253.89,40440.5,751.605,24.38211787,4,0,1,0,24.49377767,46.05209535,23.22038219,2012-04-12 14:15:00,85.8859287730001
12/04/2012,14:30,193.6916226,45.13095193,65.14114205,1.0,622.3337811,5.166498796,0,87359.5,8981.5,35590.1,724.651,24.10209592,4,0,1,0,24.61814108,44.33573527,22.75192139,2012-04-12 14:30:00,85.69850694380007
12/04/2012,14:45,194.0505145,41.05064291,53.75800152,1.0,621.8220693,3.881713526,0,91903.3,8974.34,31982.9,701.44,27.11072453,4,0,1,0,24.49097368,44.72555544,22.96330889,2012-04-12 14:45:00,84.93876933660003
12/04/2012,15:00,193.9152966,40.78383611,48.27482135,1.0,622.2835915,4.564903706,0,87126.0,7899.14,25058.0,623.445,18.62883967,4,0,1,0,23.87319505,42.84760109,22.55747641,2012-04-12 15:00:00,85.69365862420011
12/04/2012,15:15,193.6155865,42.03972819,40.70818052,1.0,621.47464,5.024742499,0,81723.4,7483.39,20313.4,556.693,21.24060024,4,1,0,0,24.5103504,43.27577716,23.96712719,2012-04-12 15:15:00,85.36296742500006
12/04/2012,15:30,193.2738402,40.10741403,37.01090897,1.0,620.8192764,4.702910573,0,72015.2,6730.75,16247.5,470.011,17.52749326,4,1,0,0,24.81732022,42.10547698,22.85948508,2012-04-12 15:30:00,83.69985935890004
12/04/2012,15:45,193.6826438,40.91563238,33.2322858,1.0,621.1236526,4.035971247,0,86753.3,7497.73,15136.1,523.861,19.4935105,4,1,0,0,24.74961948,42.20193377,23.36600648,2012-04-12 15:45:00,84.52018442210003
12/04/2012,16:00,193.3686205,38.50513226,28.8185512,1.0,620.802337,4.471799426,0,81029.8,7010.3,12648.4,456.501,21.3695693,4,1,0,0,24.6858704,41.19883931,24.27690733,2012-04-12 16:00:00,81.56981997139988
12/04/2012,16:15,193.7436133,39.43036077,23.45956415,1.0,620.0868373,4.517033667,0,80571.1,7397.38,11558.2,421.419,23.5077929,4,1,0,0,24.40314363,41.62748396,22.98798981,2012-04-12 16:15:00,81.10947871380004
12/04/2012,16:30,193.9152196,38.25934124,23.20721273,1.0,620.7897199,5.344975267,0,78230.9,7454.72,10356.7,370.859,21.7895738,4,1,0,0,24.31970462,40.62120016,23.90678821,2012-04-12 16:30:00,74.13464186569996
12/04/2012,16:45,193.3315052,37.06825366,24.04795299,0.5,619.4495939,4.139731324,0,74424.3,7325.7,9268.22,315.104,19.96713505,4,1,0,0,24.29101275,39.7045483,23.96409727,2012-04-12 16:45:00,75.78530609659998
12/04/2012,17:00,194.3216867,36.77076429,23.33595839,0.0,619.2668154,4.170200831,0,70038.9,7254.02,8436.74,261.675,24.2696192,4,1,0,0,24.77132735,39.2377297,23.0230366,2012-04-12 17:00:00,79.10628169689996
12/04/2012,17:15,193.2324117,38.09180633,23.05045419,0.0,619.5713617,4.555186257,0,64763.2,6587.39,7332.86,209.621,20.77373329,4,1,0,0,25.15216144,40.93171677,23.84484723,2012-04-12 17:15:00,78.15487059399995
12/04/2012,17:30,193.0199605,36.86936427,23.39094655,0.0,618.3769185,4.769855599,0,10005.8,3641.34,3411.97,88.3853,21.93935753,4,1,0,0,25.12781137,38.99405212,23.40849308,2012-04-12 17:30:00,78.93698762489996
12/04/2012,17:45,192.9745051,37.0477358,23.00256162,0.0,617.5751978,3.805510224,0,3189.76,2609.15,2229.25,32.284,21.55002009,4,1,0,0,24.84727232,39.03896292,22.92950635,2012-04-12 17:45:00,78.96118155489995
12/04/2012,18:00,192.7294979,37.72236571,22.55812629,0.0,617.9769022,4.424003855,0,2523.14,1992.7,1748.99,23.768,26.36029904,4,1,0,0,24.28340909,40.13465232,23.69623003,2012-04-12 18:00:00,74.68444442859995
12/04/2012,18:15,192.594789,38.09952303,24.0525713,0.0,617.4038505,4.321789377,0,1892.35,1369.09,1297.41,14.6067,22.76333998,4,1,0,0,24.28557065,40.34514276,24.43310717,2012-04-12 18:15:00,73.35110308839992
12/04/2012,18:30,191.8272088,38.91554693,21.1802174,0.0,617.0533062,3.782377192,0,609.28,71.68,0.0,4.03333,23.48039228,4,1,0,0,24.73155344,40.58855562,23.67108264,2012-04-12 18:30:00,80.45455668889993
12/04/2012,18:45,192.8422941,37.31678858,13.92987052,0.0,457.8832315,3.121379683,0,0.0,0.0,0.0,-3.552,28.44925656,4,1,0,0,24.97100595,40.44487951,22.81667878,2012-04-12 18:45:00,78.32011834099995
12/04/2012,19:00,192.785041,38.55715477,13.80424136,0.0,55.68243447,3.083219468,0,0.0,0.0,0.0,-3.96933,28.7478437,4,1,0,0,24.28859199,39.49467412,22.92049303,2012-04-12 19:00:00,74.22930760559996
12/04/2012,19:15,192.7953927,38.58789518,13.67195791,0.0,2.586037397,4.016744346,0,0.0,0.0,0.0,-3.904,29.88096729,4,1,0,0,24.23529299,44.70324843,22.06301357,2012-04-12 19:15:00,74.04059582779995
12/04/2012,19:30,192.513621,38.10988628,13.18289306,0.0,0.76925121,3.983464574,0,0.0,0.0,0.0,-3.96933,27.33242685,4,1,0,0,24.01188014,42.78126595,21.02657078,2012-04-12 19:30:00,74.68270754640001
12/04/2012,19:45,193.2527107,37.032208,13.73533505,0.0,1.476275577,3.67618999,0,0.0,0.0,0.0,-4.03467,28.03150121,4,1,0,0,24.12133281,44.31359372,21.07287927,2012-04-12 19:45:00,76.24505414739997
12/04/2012,20:00,194.0265509,36.71402737,13.11877242,0.0,1.157282358,2.849563049,0,0.0,0.0,0.0,-3.96933,31.8738461,4,1,0,0,24.62821686,45.35076049,21.38129679,2012-04-12 20:00:00,79.18505148719997
12/04/2012,20:15,193.3948014,37.88450977,12.44634483,0.0,1.139553622,2.447691469,0,0.0,0.0,0.0,-4.03467,32.16983391,4,1,0,0,24.34276173,41.27385651,20.96122448,2012-04-12 20:15:00,74.58988604379999
12/04/2012,20:30,192.3721193,38.48371423,13.32308568,0.0,0.870250487,2.901686538,0,0.0,0.0,0.0,-3.904,32.90206752,4,1,0,0,23.54882586,46.50239151,21.4285799,2012-04-12 20:30:00,80.06117695179998
12/04/2012,20:45,191.97262,38.61481646,13.4427157,0.0,1.170512571,2.765874293,0,0.0,0.0,0.0,-4.16467,33.08927375,4,1,0,0,24.35255399,39.98596622,21.07793948,2012-04-12 20:45:00,72.6311814879999
12/04/2012,21:00,192.776747,35.03621372,13.32835285,0.0,0.719348016,2.43485059,0,0.0,0.0,0.0,-3.904,35.21450799,4,1,0,0,23.5478188,44.169515,21.49427107,2012-04-12 21:00:00,94.63229761880001
12/04/2012,21:15,192.6897572,33.35720773,13.47707642,0.0,1.167239825,1.842862316,0,0.0,0.0,0.0,-3.904,32.38840702,4,1,0,0,23.50092906,45.74642075,20.9125653,2012-04-12 21:15:00,92.96412927259999
12/04/2012,21:30,192.5771735,37.71023599,13.46468707,0.0,0.68263222,1.767781957,0,0.0,0.0,0.0,-3.96933,35.9430872,4,1,0,0,23.89643784,41.03777268,21.52736641,2012-04-12 21:30:00,76.49164873390004
12/04/2012,21:45,192.0600934,38.29730213,13.01052725,0.0,0.76437385,1.607151152,0,0.0,0.0,0.0,-4.03467,34.63621756,4,1,0,0,24.12035057,46.79123359,21.8249513,2012-04-12 21:45:00,74.55972756059991
12/04/2012,22:00,192.7837068,38.36785356,12.96002408,0.0,1.342891255,2.004186788,0,0.0,0.0,0.0,-3.904,38.29835059,4,1,0,0,23.87774341,47.41732172,20.04336341,2012-04-12 22:00:00,75.65644211020002
12/04/2012,22:15,193.2344294,37.52964113,13.34696957,0.0,1.187556271,1.584490831,0,0.0,0.0,0.0,-3.83867,36.6925365,4,1,0,0,23.22067122,39.97800145,21.44371422,2012-04-12 22:15:00,91.7466625442
12/04/2012,22:30,192.6919771,37.05639774,12.95725243,0.0,0.859097336,1.19806608,0,0.0,0.0,0.0,-3.83867,38.68736731,4,1,0,0,23.79066371,46.5309369,20.57029603,2012-04-12 22:30:00,80.85687081130003
12/04/2012,22:45,193.0838667,35.55143165,13.33922684,0.0,1.559000887,1.751479091,0,0.0,0.0,0.0,-3.96933,40.73569445,4,1,0,0,23.75542726,48.13643166,20.42644229,2012-04-12 22:45:00,92.21089777440002
12/04/2012,23:00,193.21185,37.56742906,12.85661099,0.0,1.573543244,2.041076256,0,0.0,0.0,0.0,-3.83867,42.01253512,4,1,0,0,23.07797461,41.53948292,20.412233235,2012-04-12 23:00:00,89.60329712859998
12/04/2012,23:15,192.5721699,36.01051298,14.20741996,0.0,1.062295199,2.261712504,0,0.0,0.0,0.0,-3.77333,40.86740082,4,1,0,0,23.47674464,40.91635898,20.39802418,2012-04-12 23:15:00,81.71877577969995
12/04/2012,23:30,192.0370881,36.02729351,14.02692956,0.0,1.019452759,2.136754986,0,0.0,0.0,0.0,-3.64267,37.91131624,4,1,0,0,23.28008802,41.60434361,19.78052708,2012-04-12 23:30:00,81.914806867
12/04/2012,23:45,192.0624457,39.08208195,13.85387544,0.0,1.1348955,2.21085428,0,0.0,0.0,0.0,-3.83867,43.36687736,4,1,0,0,23.30361533,42.70412229,19.67620109,2012-04-12 23:45:00,79.49373941820001
